"Note: All codes are participants perceptions. That means e.g. ""only exceptional hackers can get into account"" means that this was what participants believed, not what was actually the case.",,,,,
First Level Folders,First Level Codes,Second Level Folders/codes,Third Level Folders/codes,Forth Level Codes,Description
Mitigation Practices,defensive mechanisms,offline defenses,,,
Mitigation Practices,defensive mechanisms,offline defenses,STR_avoid people,,Avoiding certain individuals.
Mitigation Practices,defensive mechanisms,offline defenses,STR_carrying pepper spray to protect against physical threats,,Carrying pepper spray for physical protection.
Mitigation Practices,defensive mechanisms,offline defenses,STR_physical protection,,Using physical protection methods.
Mitigation Practices,defensive mechanisms,offline defenses,STR_protecting gadgets,,Protecting electronic devices.
Mitigation Practices,defensive mechanisms,education,,,
Mitigation Practices,defensive mechanisms,education,"STR_educate self on threats to privacy, safety",,self-education about threats to privacy and safety.
Mitigation Practices,coping strategies,,,,Coping mechanisms for dealing with challenges.
,coping strategies,ignoring,,,
,coping strategies,ignoring,STR_ignoring,,Ignoring negative experiences.
,coping strategies,ignoring,STR_not reading comments [or other feedback on content posted],,Not reading comments or feedback on posted content.
,,accepting,,,Coping strategies for addressing issues.
,,accepting,"RESPONSE_indifferent, accepting, unaffected",,"Indifference, acceptance, or being unaffected by negative experiences."
,,accepting,STR_accepting risks,,Accepting risks.
,,accepting,STR_give up,,Giving up as a coping strategy.
,,accepting,STR_public apology [addressing issue publically],,Addressing issues through public apology.
,,accepting,STR_tolerance,,Tolerance as a way to cope.
,,accepting,STR_viewing neg. expreiences as constructive,,Viewing negative experiences as constructive feedback.
,,fighting,,,
,,fighting,STR_addressing hate,,Addressing hate directly as a coping strategy.
,,fighting,STR_countering hate with shaming those who do that,,Countering hate by shaming those responsible.
,,fighting,STR_countering the misinformation,,Countering misinformation to combat negative experiences.
,,fighting,STR_fight back,,Fighting back against threats.
,,fighting,STR_purposely spreading fasle info,,Purposefully spreading false information.
,,fatalism,,,
,,fatalism,leaving platform,,Leaving the platform as a response to challenges.
,,fatalism,STR flew out of country,,Fleeing the country to escape negative experiences.
,,fatalism,STR_making account private,,Making an account private for protection.
,,fatalism,STR_taking a break to counter negative experiences,,Taking a break from content creation to counter negative experiences.
Sources of Information and Support,,,,,
,,information resources & social support,,,
Sources of Information and Support,,,advertisements,,Gained from advertisements.
Sources of Information and Support,,,don't use any info sources/ guidelines/ documentations,,"No reliance on information sources, guidelines, or documentations."
Sources of Information and Support,,,general support,,Obtains general support.
Sources of Information and Support,,,"groups, organizations and communities",,"Joins groups, organizations, and communities for information and support."
Sources of Information and Support,,,information sources,,Utilizes various information sources.
Sources of Information and Support,,,learning from platforms,,Learns from the platforms they use.
Sources of Information and Support,,,"online info search (google, social media, etc)",,Conducts online information searches through search engines and social media.
Sources of Information and Support,,,other ccs,,Seeks guidance and insights from other content creators.
Sources of Information and Support,,,People in personal life,,Receives support and information from people in their personal life.
Sources of Information and Support,,,personal experience,,Draws from personal experiences for information and support.
,,involve authority,,,
,,involve authority,STR_contact platform,,Contacting the platform or social media companies for support.
,,involve authority,STR_involve authorities,,Involving legal authorities to address issues.
,,involve authority,STR_involve lawyers,,Involving legal authorities or lawyers to address issues.
,,involve authority,STR_reaching out to online support platforms,,Reaching out to online support platforms.
,,seek counselling,,,
,,seek counselling,STR_seek counselling,,Seeking counseling as a way to cope with challenges.
,,seek counselling,STR_talking to other content creators,,Talking to other content creators for support.
Mitigation Practices,defensive mechanisms,seek counselling,STR_therapy,,Therapy as a coping strategy.
Platforms,,,,,
Platforms,Appreciated Existing Features,,,,
Platforms,Appreciated Existing Features,automated comment deletion,,,The ability to automatically delete comments that violate guidelines or contain hate speech.
Platforms,Appreciated Existing Features,blocking similar accounts,,,The option to block accounts that repeatedly engage in harassment or negative behaviors.
Platforms,Appreciated Existing Features,collaboration tools,,,Tools and features that facilitate collaborations and partnerships with other content creators.
Platforms,Appreciated Existing Features,comment restriction,,,"The capability to restrict or filter comments based on keywords, phrases, or content."
Platforms,Appreciated Existing Features,community guidelines/support,,,The presence of clear community guidelines and support resources for content creators.
Platforms,Appreciated Existing Features,content filtering,,,Features that filter out inappropriate or harmful content from reaching the audience.
Platforms,Appreciated Existing Features,creator promotion,,,"Platforms promoting content creators through features like recommendations, highlights, or partnerships."
Platforms,Appreciated Existing Features,features that guide content creation,,,Tools or guidance that help creators produce content aligned with platform policies.
Platforms,Appreciated Existing Features,moderation tools,,,"Tools for monitoring and managing comments, messages, or content on the platform."
Platforms,Appreciated Existing Features,physical office,,,The existence of a physical office or presence where content creators can seek assistance or support.
Platforms,Appreciated Existing Features,protections for creators,,,Measures taken to protect content creators from harassment and threats.
Platforms,Appreciated Existing Features,resources for hate,,,Access to resources and information for dealing with online hate and harassment.
Platforms,Appreciated Existing Features,restriction to directly message cc,,,The option for creators to control who can send them direct messages.
Platforms,Appreciated Existing Features,support from help center,,,Assistance and support services provided by the platform's help center.
Platforms,Criticized Features,,,,
Platforms,Criticized Features,ability to target people directly,,,"The platform's ability to allow users to target individuals directly, which can lead to harassment."
Platforms,Criticized Features,difficult to avoid spams for cc and business accounts,,,Challenges in avoiding spam messages for both content creators and business accounts.
Platforms,Criticized Features,direct messages,,,Concerns related to the functionality of direct messaging on the platform.
Platforms,Criticized Features,false negatives/ false positives with content banning,,,"Issues regarding false negatives and false positives in content banning, impacting content creators."
Platforms,Criticized Features,ineffective reporting,,,Criticisms of the platform's reporting system being ineffective in addressing issues.
Platforms,Criticized Features,lack of authenticity on social media,,,Criticisms regarding the lack of authenticity in the content or interactions on social media.
Platforms,Criticized Features,limited assitance,,,Limited assistance and support provided to content creators by the platform.
Platforms,Criticized Features,promotion of controversy,,,Concerns about the promotion of controversial or harmful content on the platform.
Platforms,Criticized Features,slow response time,,,Slow response times from the platform's support or moderation teams.
Platforms,Criticized Features,unclear community guidelines,,,Criticisms of the community guidelines not being clear or comprehensive.
Platforms,Criticized Features,weak moderation tools,,,The platform's moderation tools being considered weak or insufficient.
Platforms,Criticized Features,weak protection for creators,,,Perceived weaknesses in the platform's protection measures for content creators.
Platforms,external platforms,,,,
Platforms,Facebook,,,,
Platforms,good,,,,
Platforms,how TikTok changed dynamics of content creation,,,,tiktok changed the dynamics of content creation
Platforms,Instagram,,,,
Platforms,not good,,,,not good platform 
Platforms,platform being toxic,,,,platform being toxic in nature 
Platforms,Spotify,,,,
Platforms,TikTok,,,,
Platforms,Twitter,,,,
Platforms,Wanted Features,,,,
Platforms,Wanted Features,audience filter,,,Audience filter for content control.
Platforms,Wanted Features,Automatic comment deletion,,,Automatic comment deletion.
Platforms,Wanted Features,better audience,,,Improved audience quality.
Platforms,Wanted Features,blocking IDs of harassers,,,Ability to block the IDs of harassers.
Platforms,Wanted Features,checks to verify reposting/impersonation of content,,,Verification checks to prevent reposting and impersonation of content.
Platforms,Wanted Features,content should be on feed of only those who want to see that niche of content,,,Content visibility control to specific niche audiences.
Platforms,Wanted Features,control over who can view/ screenshot content,,,Control over who can view and screenshot content.
Platforms,Wanted Features,DM safety features,,,Enhanced direct message (DM) safety features.
Platforms,Wanted Features,faster response,,,Faster response times.
Platforms,Wanted Features,"flagging abusers, etc",,,Flagging tools to report abusers and rule violators.
Platforms,Wanted Features,forbidding downloading of content,,,Prohibition of content downloading.
Platforms,Wanted Features,guidance,,,Requesting guidance and assistance.
Platforms,Wanted Features,help line,,,Access to a helpline for support.
Platforms,Wanted Features,involving real people to resolve conflicts,,,Involving real people to mediate and resolve conflicts.
Platforms,Wanted Features,measures to counter impersonation,,,Countermeasures against content impersonation.
Platforms,Wanted Features,measures to counter spread of misinformation,,,Countermeasures against the spread of misinformation.
Platforms,Wanted Features,missing privacy controls for public accounts,,,Additional privacy controls for public accounts.
Platforms,Wanted Features,moderation policies,,,Improved moderation policies.
Platforms,Wanted Features,right to privacy,,,Upholding the right to privacy.
Platforms,Wanted Features,safety resource,,,Access to safety resources.
Platforms,Wanted Features,screenshot blocking,,,Blocking screenshots.
Platforms,Wanted Features,support communities,,,Establishing support communities.
Platforms,Wanted Features,transparency on how banning works,,,Transparency regarding the banning process.
Platforms,YouTube,,,,
Neg. Experiences,,,,,
,more hate digitally than physically,,,,Facing more hate and negativity online than in physical or offline situations.
,NEG_attacked on personal traits,,,,Being attacked or criticized based on personal characteristics or traits.
,online experiences affecting in real life,,,,nline experiences having an impact on real-life situations and well-being.
Neg. Experiences,_experienced by interviewee,,,,Negative experiences personally encountered by the interviewee.
Neg. Experiences,_not experienced by interviewee personally,,,,Negative experiences not personally encountered by the interviewee.
Neg. Experiences,_sharing similar experiences as other creators,,,,Sharing similar experiences with other content creators.
,Harrassment,,,,
,Harrassment,NEG_blackmail,,,Experiencing blackmail.
,Harrassment,NEG_bullying,,,Being a victim of bullying.
,Harrassment,NEG_comments,,,Dealing with negative comments.
,Harrassment,NEG_dehumanized,,,Feeling dehumanized.
,Harrassment,NEG_discomfort,,,Experiencing discomfort.
,Harrassment,NEG_easy to target/hate online,,,Being an easy target for hate online.
,Harrassment,NEG_harrassment,,,Facing harassment.
,Harrassment,NEG_hate campaign,,,Being a part of a hate campaign.
,Harrassment,NEG_men making women cc uncomfortable,,,Men making women content creators uncomfortable.
,Harrassment,NEG_misgendering or dead-naming,,,Experiencing misgendering or dead-naming.
,Harrassment,NEG_misinterpretation of content,,,Misinterpretation of content.
,Harrassment,NEG_sexual harassment,,,Encountering sexual harassment.
,Harrassment,NEG_unsolicited DMs,,,Receiving unsolicited direct messages.
,Harrassment,NEG-hate speech,,,Being subjected to hate speech.
,Physical/offline experiences,,,,
,Physical/offline experiences,NEG_kidnapped,,,Being kidnapped in physical situations.
,Physical/offline experiences,NEG_offline experience,,,Experiencing offline issues.
,Physical/offline experiences,NEG_people reaching house,,,Dealing with people reaching your house.
,Physical/offline experiences,NEG_physical damage,,,Suffering physical harm.
,Physical/offline experiences,NEG_sent to prison,,,Being sent to prison due to online experiences.
,Physical/offline experiences,NEG_sleeping habits,,,Changes in sleeping habits.
,Physical/offline experiences,NEG_unauthorised phtographs,,,Unauthorized photographs being taken.
,Privacy invasion,,,,
,Privacy invasion,NEG_personal life/information invaded,,,Invasion of personal life and information.
,Privacy invasion,NEG_privacy invasion,,,Experiencing privacy invasion.
Neg. Experiences,,,,,
Neg. Experiences,,,,,
Neg. Experiences,,,,,
Neg. Experiences,Content misuse,,,,
Neg. Experiences,Content misuse,NEG_content misuse,,,The misuse of one's content.
Neg. Experiences,Content misuse,NEG_impersonation,,,Impersonation of the content creator.
,Cancelled,,,,
,Cancelled,NEG_cancelled,,,Experiencing the effects of cancel culture.
,Cancelled,NEG_defining cancel culture,,,"The consequences of being ""cancelled"" in the online world."
,Account hijacking,,,,
,Account hijacking,NEG_hacking,,,Hacking and compromising of accounts.
,Account hijacking,NEG_losing account or content,,,Loss of account or content due to security breaches.
Neg. Experiences,Discrimination,,,,
Neg. Experiences,Discrimination,backlash on talking about feminism,,,Backlash when discussing topics like feminism.
Neg. Experiences,Discrimination,NEG_body/skin tone shaming,,,Discrimination based on factors like body/skin tone.
Neg. Experiences,Discrimination,NEG_facing discrinimation based on oppresive societal norms,,,"Discrimination based on oppressive societal norms,."
Neg. Experiences,Discrimination,NEG_gender biases,,,Discrimination based on gender biases.
Neg. Experiences,Discrimination,NEG_power dynamics,,,Discrimination based on power dynamics.
Neg. Experiences,Discrimination,NEG_religious opinions imposed,,,Discrimination based on religious opinions.
Neg. Experiences,,,,,
Neg. Experiences,Impacting social relationships,,,,
Neg. Experiences,Impacting social relationships,NEG_affecting people around you,,,Negatively affecting people around you.
Neg. Experiences,Impacting social relationships,NEG_impacting family,,,Impacting family relationships.
Neg. Experiences,Impacting social relationships,NEG_impacts relationships,,,Causing strain in relationships.
Neg. Experiences,Impacting social relationships,NEG_jealousy,,,Experiencing jealousy.
Neg. Experiences,Impacting social relationships,NEG_not wanting people to know about cc,,,Not wanting people to know about being a content creator.
Neg. Experiences,Reputation,,,,
Neg. Experiences,Reputation,NEG_ reputation damage due to association with other cc,,,Damage to one's reputation due to associations with other content creators.
Neg. Experiences,Reputation,NEG_false allegations/ rumours,,,Dealing with false allegations and rumors.
Neg. Experiences,Reputation,NEG_people too quick to judge,,,People being too quick to judge.
Neg. Experiences,Reputation,NEG_spread of misinformation,,,The spread of misinformation.
Neg. Experiences,Stalking,,,,
Neg. Experiences,Stalking,NEG_getting stalked,,,Being a victim of stalking.
,Limited opportunities,,,,
,Limited opportunities,NEG_less sponsors,,,Receiving fewer sponsorships and opportunities.
,Mental health,,,,
,Mental health,NEG_became suicidal,,,Experiencing thoughts of suicide.
,Mental health,NEG_burnout,,,Facing burnout.
,Mental health,NEG_comparing oneself with other cc,,,Comparing oneself with other content creators.
,Mental health,NEG_depression,,,Dealing with depression.
,Mental health,NEG_mental health,,,Struggling with mental health.
,Mental health,NEG_questioning self-worth,,,Questioning self-worth.
,Mental health,NEG_seeking validation from audience,,,Seeking validation from the audience.
,Authorities being inconsiderate,,,,
,Authorities being inconsiderate,NEG_authorities being incosiderate of experiences,,,Authorities being inconsiderate of the experiences and issues.
,Authorities being inconsiderate,NEG_complex process to invlove authorities,,,Complex processes when involving authorities.
Neg. Experiences,unable to leave because of finances,,,,Financial constraints preventing the content creator from leaving their online presence.
Neg. Experiences,Work-related,,,,
Neg. Experiences,Work-related,NEG_addiction to social media,,,Experiencing addiction to social media.
Neg. Experiences,Work-related,NEG_competing with other cc,,,Competing with other content creators.
Neg. Experiences,Work-related,NEG_difficulties adapting to frequent changes in technology,,,Facing difficulties adapting to frequent changes in technology.
Neg. Experiences,Work-related,NEG_education,,,Experiencing issues with education.
Neg. Experiences,Work-related,NEG_hypocrasy from fellow cc,,,Dealing with hypocrisy from fellow content creators.
Neg. Experiences,Work-related,NEG_impacts career / future life,,,Impacts on career and future life.
Neg. Experiences,Work-related,NEG_intense workload,,,An intense workload.
Neg. Experiences,Work-related,NEG_little liberty to make own decision,,,Having little liberty to make one's own decisions.
Neg. Experiences,Work-related,NEG_not able to take a break,,,Not being able to take a break.
Neg. Experiences,Work-related,NEG_pressure to keep posting,,,Feeling pressure to keep posting.
Neg. Experiences,Work-related,NEG_underpayment,,,Dealing with underpayment and work-related stress.
Neg. Experiences,Work-related,NEG_work/job,,,Negative impact on other work/job.
Characteristics Moderating Negative Experiences,,,,,What are the characteristics due to which CC's have negative experiences
Characteristics Moderating Negative Experiences,being cc,,,,being a public figure
Characteristics Moderating Negative Experiences,being in Pakistan,,,,being a pakistani 
Characteristics Moderating Negative Experiences,being transgender,,,,being a transgender 
Characteristics Moderating Negative Experiences,beliefs,,,,personal beliefs 
Characteristics Moderating Negative Experiences,clothes,,,,clothes they wear 
Characteristics Moderating Negative Experiences,defying cultural or societal norms,,,,Experiences when challenging established norms.
Characteristics Moderating Negative Experiences,friends,,,,Role of friendships in moderating negative encounters.
Characteristics Moderating Negative Experiences,gender of creator,,,,How a creator's gender affects their experiences.
Characteristics Moderating Negative Experiences,jealousy,,,, Influence of jealousy on negative encounters.
Characteristics Moderating Negative Experiences,personal life,,,,How personal life circumstances shape experiences.
Characteristics Moderating Negative Experiences,physical apprearance,,,,How one's appearance affects adverse encounters.
Characteristics Moderating Negative Experiences,platform used,,,,Impact of the content-sharing platform.
Characteristics Moderating Negative Experiences,size of audience,,,,How the size of one's audience moderates negative experiences.
Characteristics Moderating Negative Experiences,skin color,,,,Influence of skin color on encounters.
Characteristics Moderating Negative Experiences,social class,,,,How social class impacts negative experiences.
Characteristics Moderating Negative Experiences,type of content you post,,,,How content type influences these experiences.
Desired resources,,,,,
Desired resources,Advice/guidance,,,,Seeking counsel or recommendations.
Desired resources,call center,,,,Access to a helpline or customer service.
Desired resources,Dealing with offline hate,,,,Resources for handling offline harassment.
Desired resources,information about challenges of AI/deepfakes,,,,Knowledge about the risks associated with AI and deepfake technology.
Desired resources,more functional/robust authorities,,,,Increased effectiveness and strength of regulatory bodies.
Desired resources,more tech driven support from authorities,,,,Enhanced technological assistance from governing bodies.
Desired resources,support community or organization,,,,Involvement in a group or entity providing assistance.
Desired resources,technical knowledge,,,,Access to expertise in technical matters.
Desired resources,web portal,,,,An online platform for accessing information or resources.
Online Privacy Perceptions,,,,,
Online Privacy Perceptions,boundaries,,,,Understanding personal boundaries regarding online privacy.
Online Privacy Perceptions,control over content access,,,,Having control over who can access your content.
Online Privacy Perceptions,control over content distribution,,,,Having control over how your content is distributed.
Online Privacy Perceptions,defining privacy,,,,Defining what privacy means in the online context.
Online Privacy Perceptions,keeping family information private,,,,Keeping family information private.
Online Privacy Perceptions,keeping location data private,,,,Keeping location data private.
